Title,Year,Genre,budget,opening weekend,worldwide gross,Rotten Tomatoes score
Cast Away,2000,"Adventure, Drama, Romance",90000000.0,7160535.7,429632142.0,89
Die Another Day,2002,"Action, Adventure, Thriller",140000000.0,7199518.6,431971116.0,55
The Wolf of Wall Street,2013,"Biography, Comedy, Crime",100000000.0,6781303.883333334,406878233.0,80
Signs,2002,"Drama, Mystery, Sci-Fi",72000000.0,6804131.95,408247917.0,75
Twilight,2008,"Drama, Fantasy, Romance",37000000.0,6807173.583333333,408430415.0,49
Twilight,2008,"Drama, Fantasy, Romance",37000000.0,6807173.583333333,408430415.0,49
Pacific Rim,2013,"Action, Adventure, Sci-Fi",180000000.0,6850048.433333334,411002906.0,72
The Bodyguard,1992,"Action, Drama, Music",25000000.0,6850774.15,411046449.0,38
The Wolverine,2013,"Action, Sci-Fi",120000000.0,6913804.1,414828246.0,71
Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",150000000.0,6921023.033333333,415261382.0,97
Jason Bourne,2016,"Action, Thriller",120000000.0,6924748.566666666,415484914.0,54
Home,2015,"Animation, Adventure, Comedy",135000000.0,6434026.783333333,386041607.0,52
Live Free or Die Hard,2007,"Action, Thriller",110000000.0,6469266.85,388156011.0,82
Independence Day: Resurgence,2016,"Action, Adventure, Sci-Fi",165000000.0,6494698.916666667,389681935.0,29
Robin Hood: Prince of Thieves,1991,"Action, Adventure, Drama",48000000.0,6508231.8,390493908.0,50
Superman Returns,2006,"Action, Adventure, Sci-Fi",270000000.0,6518019.866666666,391081192.0,74
Toy Story,1995,"Animation, Adventure, Comedy",30000000.0,6573943.1,394436586.0,100
Grease,1978,"Comedy, Musical, Romance",6000000.0,6604518.383333334,396271103.0,76
Snow White and the Huntsman,2012,"Action, Adventure, Drama",170000000.0,6609880.483333333,396592829.0,49
Mission: Impossible III,2006,"Action, Adventure, Thriller",150000000.0,6641324.95,398479497.0,71
Dune,2021,"Action, Adventure, Drama",40000000.0,6700463.833333333,402027830.0,83
Prometheus,2012,"Adventure, Mystery, Sci-Fi",130000000.0,6722574.483333333,403354469.0,73
The Mummy: Tomb of the Dragon Emperor,2008,"Action, Adventure, Fantasy",145000000.0,6724163.833333333,403449830.0,13
Shark Tale,2004,"Animation, Adventure, Comedy",75000000.0,6243064.65,374583879.0,35
G.I. Joe: Retaliation,2013,"Action, Adventure, Sci-Fi",130000000.0,6262345.083333333,375740705.0,28
Taken 2,2012,"Action, Crime, Thriller",45000000.0,6269207.583333333,376152455.0,22
Slumdog Millionaire,2008,"Crime, Drama, Romance",15000000.0,6306842.366666666,378410542.0,91
Ice Age,2002,"Animation, Adventure, Comedy",59000000.0,6387618.933333334,383257136.0,77
Back to the Future,1985,"Adventure, Comedy, Sci-Fi",19000000.0,6388946.033333333,383336762.0,97
Happy Feet,2006,"Animation, Adventure, Comedy",100000000.0,6405601.8,384336108.0,76
Star Trek,2009,"Action, Adventure, Sci-Fi",150000000.0,6428007.433333334,385680446.0,94
Home,2015,"Animation, Adventure, Comedy",135000000.0,6434026.783333333,386041607.0,52
Alvin and the Chipmunks,2007,"Animation, Adventure, Comedy",60000000.0,6089209.1,365352546.0,28
My Big Fat Greek Wedding,2002,"Comedy, Drama, Romance",5000000.0,6145734.066666666,368744044.0,76
Jurassic Park III,2001,"Action, Adventure, Sci-Fi",93000000.0,6146346.816666666,368780809.0,49
The Fugitive,1993,"Action, Crime, Drama",44000000.0,6147929.333333333,368875760.0,96
Gone Girl,2014,"Drama, Mystery, Thriller",61000000.0,6155506.05,369330363.0,88
There's Something About Mary,1998,"Comedy, Romance",23000000.0,6164744.183333334,369884651.0,84
Captain America: The First Avenger,2011,"Action, Adventure, Sci-Fi",140000000.0,6176162.9,370569774.0,80
Terminator Salvation,2009,"Action, Adventure, Sci-Fi",200000000.0,6189216.683333334,371353001.0,33
Hitch,2005,"Comedy, Romance",70000000.0,6193236.833333333,371594210.0,69
The Golden Compass,2007,"Adventure, Family, Fantasy",180000000.0,6203914.4,372234864.0,43
Batman Begins,2005,"Action, Crime, Drama",150000000.0,6227883.216666667,373672993.0,84
The Adventures of Tintin,2011,"Animation, Action, Adventure",130000000.0,6233232.516666667,373993951.0,74
What Women Want,2000,"Comedy, Fantasy, Romance",70000000.0,6235195.116666666,374111707.0,54
Top Gun,1986,"Action, Drama",15000000.0,5954802.966666667,357288178.0,58
Minority Report,2002,"Action, Crime, Mystery",102000000.0,5972882.1,358372926.0,90
Hotel Transylvania,2012,"Animation, Adventure, Comedy",85000000.0,5972926.716666667,358375603.0,44
Home Alone 2: Lost in New York,1992,"Adventure, Comedy, Crime",18000000.0,5983247.5,358994850.0,35
The Karate Kid,1984,"Action, Drama, Family",8000000.0,5985433.7,359126022.0,89
The Karate Kid,1984,"Action, Drama, Family",8000000.0,5985433.7,359126022.0,89
Noah,2014,"Action, Adventure, Drama",125000000.0,5986667.4,359200044.0,75
The World Is Not Enough,1999,"Action, Adventure, Thriller",135000000.0,6030540.0,361832400.0,51
Planet of the Apes,2001,"Action, Adventure, Sci-Fi",100000000.0,6036862.333333333,362211740.0,44
Planet of the Apes,2001,"Action, Adventure, Sci-Fi",100000000.0,6036862.333333333,362211740.0,44
Ocean's Twelve,2004,"Crime, Thriller",110000000.0,6045738.0,362744280.0,55
Night at the Museum: Secret of the Tomb,2014,"Adventure, Comedy, Family",127000000.0,6053410.583333333,363204635.0,47
A Bug's Life,1998,"Animation, Adventure, Comedy",120000000.0,6054314.316666666,363258859.0,92
Notting Hill,1999,"Comedy, Drama, Romance",42000000.0,6064827.966666667,363889678.0,84
Catch Me If You Can,2002,"Biography, Crime, Drama",52000000.0,5868571.866666666,352114312.0,96
GoldenEye,1995,"Action, Adventure, Thriller",58000000.0,5869900.566666666,352194034.0,80
The Angry Birds Movie,2016,"Animation, Action, Adventure",73000000.0,5872232.15,352333929.0,43
X-Men: First Class,2011,"Action, Sci-Fi",160000000.0,5876944.833333333,352616690.0,86
"I, Robot",2004,"Action, Mystery, Sci-Fi",120000000.0,5885564.966666667,353133898.0,98
The Great Gatsby,2013,"Drama, Romance",105000000.0,5894330.85,353659851.0,48
The Great Gatsby,2013,"Drama, Romance",105000000.0,5894330.85,353659851.0,48
Rain Man,1988,Drama,25000000.0,5913757.25,354825435.0,89
Apollo 13,1995,"Adventure, Drama, History",52000000.0,5920632.216666667,355237933.0,96
Spirited Away,2001,"Animation, Adventure, Family",15000000.0,5930371.983333333,355822319.0,97
American Beauty,1999,Drama,15000000.0,5938276.683333334,356296601.0,87
The Legend of Tarzan,2016,"Action, Adventure, Drama",180000000.0,5945005.95,356700357.0,35
Star Trek Beyond,2016,"Action, Adventure, Sci-Fi",185000000.0,5724530.266666667,343471816.0,86
How the Grinch Stole Christmas,2000,"Comedy, Family, Fantasy",123000000.0,5763717.2,345823032.0,49
Pocahontas,1995,"Animation, Adventure, Drama",55000000.0,5767996.216666667,346079773.0,54
Rush Hour 2,2001,"Action, Comedy, Crime",90000000.0,5788763.366666666,347325802.0,51
National Treasure,2004,"Action, Adventure, Mystery",100000000.0,5791871.966666667,347512318.0,46
The Smurfs 2,2013,"Animation, Adventure, Comedy",105000000.0,5792422.666666667,347545360.0,14
The Maze Runner,2014,"Action, Mystery, Sci-Fi",34000000.0,5805331.016666667,348319861.0,65
Deep Impact,1998,"Action, Drama, Sci-Fi",75000000.0,5824411.066666666,349464664.0,46
Dinosaur,2000,"Animation, Adventure, Drama",127500000.0,5830379.416666667,349822765.0,65
Speed,1994,"Action, Adventure, Thriller",30000000.0,5840802.416666667,350448145.0,94
The Mask,1994,"Action, Comedy, Crime",23000000.0,5859723.45,351583407.0,80
Now You See Me,2013,"Crime, Mystery, Thriller",75000000.0,5862066.483333333,351723989.0,50
Fantastic Four,2005,"Action, Adventure, Fantasy",120000000.0,5558932.233333333,333535934.0,28
Fantastic Four,2005,"Action, Adventure, Fantasy",120000000.0,5558932.233333333,333535934.0,28
Now You See Me 2,2016,"Action, Adventure, Comedy",90000000.0,5581626.766666667,334897606.0,34
The Rock,1996,"Action, Adventure, Thriller",75000000.0,5584377.016666667,335062621.0,68
Journey 2: The Mysterious Island,2012,"Action, Adventure, Comedy",79000000.0,5588129.133333334,335287748.0,45
The Curious Case of Benjamin Button,2008,"Drama, Fantasy, Romance",150000000.0,5596713.1,335802786.0,71
Prince of Persia: The Sands of Time,2010,"Action, Adventure, Fantasy",150000000.0,5606094.6,336365676.0,37
Batman Forever,1995,"Action, Adventure",100000000.0,5609452.633333334,336567158.0,39
